Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
97,Tuesday Jul 26,boxscore,TBR,@,BAL,L,3,5,,52-45,3,13.5,Akin,Poche,López,2:43,N,11307,1.00,----,
98,Wednesday Jul 27,boxscore,TBR,@,BAL,W,6,4,10,53-45,3,12.5,Poche,López,Fairbanks,3:46,N,13592,1.04,+,
99,Thursday Jul 28,boxscore,TBR,@,BAL,L,0,3,,53-46,3,13.5,Lyles,Yarbrough,Bautista,2:54,D,16784,1.01,-,
100,Friday Jul 29,boxscore,TBR,,CLE,L,1,4,,53-47,3,14.5,Bieber,Springs,Clase,2:43,N,14671,1.05,--,
101,Saturday Jul 30,boxscore,TBR,,CLE,W,6,4,,54-47,3,14.5,Kluber,Plesac,Fairbanks,2:58,D,22756,1.04,+,
102,Sunday Jul 31,boxscore,TBR,,CLE,L,3,5,,54-48,3,14.5,McCarty,McClanahan,Clase,3:03,D,18023,1.03,-,
103,Tuesday Aug 2,boxscore,TBR,,TOR,L,1,3,,54-49,3,15.0,Gausman,Rasmussen,Romano,2:45,N,16433,1.09,--,
104,Wednesday Aug 3,boxscore,TBR,,TOR,W,3,2,,55-49,3,14.0,Thompson,Cimber,Adam,2:48,D,14253,1.06,+,
105,Thursday Aug 4,boxscore,TBR,@,DET,W,6,2,,56-49,3,13.5,Springs,Hutchison,,2:59,N,16595,.95,++,
106,Friday Aug 5,boxscore,TBR,@,DET,W,5,3,,57-49,3,12.5,Beeks,Jiménez,Poche,3:40,N,21547,.99,+++,
107,Saturday Aug 6,boxscore,TBR,@,DET,L,1,9,,57-50,3,12.5,Hill,McClanahan,,2:54,N,40101,.99,-,
108,Sunday Aug 7,boxscore,TBR,@,DET,W,7,0,,58-50,3,11.5,Poche,Soto,,2:50,D,18395,.99,+,
109,Tuesday Aug 9,boxscore,TBR,@,MIL,L,3,5,,58-51,3,12.0,Peralta,Yarbrough,Bush,2:46,N,30030,1.00,-,
110,Wednesday Aug 10,boxscore,TBR,@,MIL,L-wo,3,4,10,58-52,3,12.0,Williams,Thompson,,3:03,D,30644,1.03,--,
111,Friday Aug 12,boxscore,TBR,,BAL,L,3,10,,58-53,4,12.0,Voth,Kluber,,3:07,N,12380,1.23,---,
112,Saturday Aug 13,boxscore,TBR,,BAL,W,8,2,,59-53,3,12.0,McClanahan,Hall,,3:22,D,16823,1.16,+,
113,Sunday Aug 14,boxscore,TBR,,BAL,W,4,1,,60-53,3,11.0,Rasmussen,Lyles,Adam,2:37,D,18093,1.22,++,
114,Monday Aug 15,boxscore,TBR,@,NYY,W,4,0,,61-53,2,10.0,Yarbrough,Cole,,3:21,N,42192,1.16,+++,
115,Tuesday Aug 16,boxscore,TBR,@,NYY,W,3,1,,62-53,2,9.0,Springs,Cortes,Adam,2:51,N,41083,1.22,++++,
116,Wednesday Aug 17,boxscore,TBR,@,NYY,L-wo,7,8,10,62-54,2,10.0,Chapman,Beeks,,3:48,N,42512,1.28,-,
117,Thursday Aug 18,boxscore,TBR,,KCR,W,7,1,,63-54,2,9.0,Patiño,Castillo,,2:48,N,8168,1.10,+,
118,Friday Aug 19,boxscore,TBR,,KCR,L,2,3,10,63-55,3,9.0,Barlow,Beeks,,2:48,N,10049,1.13,-,
119,Saturday Aug 20,boxscore,TBR,,KCR,W,5,2,,64-55,3,8.0,Rasmussen,Bubic,Fairbanks,2:50,D,19800,1.17,+,
120,Sunday Aug 21,boxscore,TBR,,KCR,W,3,2,,65-55,2,8.0,Armstrong,Cuas,Fairbanks,2:59,D,12940,1.22,++,
121,Monday Aug 22,boxscore,TBR,,LAA,W,2,1,,66-55,2,8.0,Springs,Davidson,Armstrong,3:00,N,9942,1.19,+++,
122,Tuesday Aug 23,boxscore,TBR,,LAA,W,11,1,,67-55,2,8.0,Kluber,Suarez,,2:57,N,8810,1.16,++++,
