Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
133,Saturday Sep 3,boxscore,SEA,@,CLE,W,4,0,,75-58,2,10.0,Ray,Curry,,3:19,N,26254,.62,++++++,
134,Sunday Sep 4,boxscore,SEA,@,CLE,W,6,3,11,76-58,2,10.0,Boyd,Stephan,Flexen,3:47,D,17809,.64,+++++++,
135,Monday Sep 5,boxscore,SEA,,CHW,L,2,3,,76-59,2,11.0,Lynn,Gonzales,Hendriks,2:48,D,37109,.56,-,
136,Tuesday Sep 6,boxscore,SEA,,CHW,W,3,0,,77-59,2,10.0,Gilbert,Cueto,Sewald,3:02,N,17958,.60,+,
137,Wednesday Sep 7,boxscore,SEA,,CHW,L,6,9,,77-60,2,11.0,Bummer,Castillo,Hendriks,3:32,D,15264,.53,-,
138,Friday Sep 9,boxscore,SEA,,ATL,L,4,6,,77-61,2,12.0,Morton,Ray,Jansen,3:06,N,42114,.56,--,
139,Saturday Sep 10,boxscore,SEA,,ATL,W,3,1,,78-61,2,11.0,Kirby,Fried,Sewald,2:49,N,44965,.65,+,
140,Sunday Sep 11,boxscore,SEA,,ATL,W-wo,8,7,,79-61,2,11.0,Sewald,Jansen,,3:24,D,45245,.52,++,
141,Tuesday Sep 13,boxscore,SEA,,SDP,L,0,2,,79-62,2,12.5,Darvish,Gilbert,Hader,3:04,N,34740,.45,-,
142,Wednesday Sep 14,boxscore,SEA,,SDP,W,6,1,,80-62,2,12.5,Castillo,Clevinger,,2:53,D,24238,.57,+,
143,Friday Sep 16,boxscore,SEA,@,LAA,L,7,8,,80-63,2,14.0,Lorenzen,Ray,Tepera,3:29,N,37480,.52,-,
144,Saturday Sep 17,boxscore,SEA,@,LAA,L,1,2,,80-64,2,14.0,Ohtani,Kirby,Loup,2:48,N,35538,.53,--,
145,Sunday Sep 18,boxscore,SEA,@,LAA,L,1,5,,80-65,2,15.0,Detmers,Gonzales,,2:43,D,24929,.54,---,
146,Monday Sep 19,boxscore,SEA,@,LAA,W,9,1,,81-65,2,15.0,Gilbert,Suarez,,3:08,D,15594,.70,+,
147,Tuesday Sep 20,boxscore,SEA,@,OAK,L,1,4,,81-66,2,16.0,Sears,Castillo,Acevedo,2:49,N,4251,.54,-,
148,Wednesday Sep 21,boxscore,SEA,@,OAK,L,1,2,,81-67,2,17.0,Kaprielian,Swanson,Acevedo,2:39,N,4030,.50,--,
149,Thursday Sep 22,boxscore,SEA,@,OAK,W,9,5,,82-67,2,16.0,Boyd,Snead,,3:22,D,4696,.61,+,
150,Friday Sep 23,boxscore,SEA,@,KCR,L,1,5,,82-68,2,16.0,Singer,Gonzales,,2:29,N,13615,.55,-,
151,Saturday Sep 24,boxscore,SEA,@,KCR,W,6,5,,83-68,2,16.0,Sewald,Keller,Muñoz,3:25,N,25237,.69,+,
152,Sunday Sep 25,boxscore,SEA,@,KCR,L,12,13,,83-69,2,17.0,Cuas,Swanson,Barlow,3:43,D,18350,.47,-,
153,Tuesday Sep 27,boxscore,SEA,,TEX,L,0,5,,83-70,2,18.0,Miller,Ray,,3:22,N,23221,.42,--,
154,Wednesday Sep 28,boxscore,SEA,,TEX,W,3,1,,84-70,2,17.0,Kirby,Pérez,Sewald,2:34,N,21863,.39,+,
155,Thursday Sep 29,boxscore,SEA,,TEX,W-wo,10,9,11,85-70,2,16.5,Flexen,King,,3:48,N,21094,.39,++,
156,Friday Sep 30,boxscore,SEA,,OAK,W-wo,2,1,,86-70,2,15.5,Brash,Acevedo,,2:47,N,44754,.50,+++,
157,Saturday Oct 1,boxscore,SEA,,OAK,W,5,1,,87-70,2,15.5,Castillo,Oller,,2:36,D,42512,.47,++++,
158,Sunday Oct 2,boxscore,SEA,,OAK,L,3,10,,87-71,2,16.5,Kaprielian,Ray,,3:11,D,42465,.56,-,
159,Monday Oct 3,boxscore,SEA,,DET,L,3,4,,87-72,2,16.5,Garcia,Kirby,Chafin,3:11,N,23463,.25,--,
160,Tuesday Oct 4 (1),boxscore,SEA,,DET,W-wo,7,6,10,88-72,2,16.0,Torrens,Soto,,3:24,D,,.06,+,
161,Tuesday Oct 4 (2),boxscore,SEA,,DET,W,9,6,,89-72,2,16.0,Sheffield,Rodriguez,Castillo,3:22,D,24564,.04,++,
162,Wednesday Oct 5,boxscore,SEA,,DET,W-wo,5,4,,90-72,2,16.0,Swanson,Soto,,2:48,D,22053,.02,+++,
