Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
128,Saturday Aug 27,boxscore,ATL,@,STL,L-wo,5,6,,79-49,2,3.0,Helsley,Jansen,,3:20,N,46119,.91,-,
129,Sunday Aug 28,boxscore,ATL,@,STL,L,3,6,,79-50,2,3.0,Helsley,Minter,Gallegos,3:06,N,42897,.80,--,
130,Tuesday Aug 30,boxscore,ATL,,COL,L,2,3,,79-51,2,3.0,Ureña,Fried,Bard,3:34,N,34237,.81,---,
131,Wednesday Aug 31,boxscore,ATL,,COL,W,3,2,,80-51,2,3.0,Wright,Feltner,Jansen,2:29,N,29554,.82,+,
132,Thursday Sep 1,boxscore,ATL,,COL,W,3,0,,81-51,2,3.0,Strider,Kuhl,Jansen,2:23,N,31203,.82,++,
133,Friday Sep 2,boxscore,ATL,,MIA,W,8,1,,82-51,2,3.0,Morton,Alcantara,,2:57,N,42161,.77,+++,
134,Saturday Sep 3,boxscore,ATL,,MIA,W-wo,2,1,,83-51,2,2.0,Matzek,Okert,,3:05,N,42405,.79,++++,
135,Sunday Sep 4,boxscore,ATL,,MIA,W,7,1,,84-51,2,1.0,Fried,López,,2:59,D,42360,.90,+++++,
136,Tuesday Sep 6,boxscore,ATL,@,OAK,W,10,9,,85-51,1,Tied,Chavez,Payamps,Jansen,3:09,N,6062,1.01,++++++,
137,Wednesday Sep 7,boxscore,ATL,@,OAK,W,7,3,,86-51,2,0.5,Strider,Waldichuk,,3:06,D,5332,1.11,+++++++,
138,Friday Sep 9,boxscore,ATL,@,SEA,W,6,4,,87-51,1,up 0.5,Morton,Ray,Jansen,3:06,N,42114,1.06,++++++++,
139,Saturday Sep 10,boxscore,ATL,@,SEA,L,1,3,,87-52,2,0.5,Kirby,Fried,Sewald,2:49,N,44965,1.10,-,
140,Sunday Sep 11,boxscore,ATL,@,SEA,L-wo,7,8,,87-53,2,1.5,Sewald,Jansen,,3:24,D,45245,1.11,--,
141,Monday Sep 12,boxscore,ATL,@,SFG,L,2,3,,87-54,2,1.5,Cobb,Strider,Alexander,2:47,N,23790,1.02,---,
142,Tuesday Sep 13,boxscore,ATL,@,SFG,W,5,1,,88-54,2,0.5,Wright,Junis,,3:01,N,24872,1.03,+,
143,Wednesday Sep 14,boxscore,ATL,@,SFG,L,1,4,,88-55,2,0.5,Rodón,Morton,Doval,2:45,D,25093,1.20,-,
144,Friday Sep 16,boxscore,ATL,,PHI,W,7,2,,89-55,2,1.0,Chavez,Domínguez,,3:15,N,42578,1.19,+,
145,Saturday Sep 17,boxscore,ATL,,PHI,W,4,3,,90-55,2,1.0,Lee,Nola,Jansen,3:18,N,42542,1.22,++,
146,Sunday Sep 18,boxscore,ATL,,PHI,W,5,2,,91-55,2,1.0,Strider,Brogdon,,3:06,D,42015,1.15,+++,
147,Monday Sep 19,boxscore,ATL,,WSN,W,5,2,,92-55,2,1.0,Wright,Abbott,Jansen,2:46,N,33443,1.21,++++,
148,Tuesday Sep 20,boxscore,ATL,,WSN,W,3,2,,93-55,2,1.0,Morton,Ramírez,Jansen,3:18,N,40224,1.22,+++++,
149,Wednesday Sep 21,boxscore,ATL,,WSN,L,2,3,,93-56,2,1.0,Machado,Chavez,Finnegan,3:13,D,37240,1.23,-,
