Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
114,Monday Aug 15,boxscore,CIN,,PHI,L,3,4,,45-69,4,18.0,Syndergaard,Minor,Domínguez,2:53,N,14635,.00,-,
115,Tuesday Aug 16,boxscore,CIN,,PHI,L,4,11,,45-70,4,19.0,Gibson,Zeuch,,3:20,N,17074,.00,--,
116,Wednesday Aug 17,boxscore,CIN,,PHI,W-wo,1,0,,46-70,4,19.0,Díaz,Domínguez,,2:27,D,13622,.00,+,
117,Friday Aug 19,boxscore,CIN,@,PIT,L-wo,4,5,,46-71,4,20.5,Crowe,Kuhnel,,2:48,N,17706,.00,-,
118,Saturday Aug 20,boxscore,CIN,@,PIT,W,10,1,,47-71,4,20.5,Dunn,Beede,,3:34,N,31761,.00,+,
119,Sunday Aug 21,boxscore,CIN,@,PIT,W,9,5,,48-71,4,20.5,Minor,Thompson,,3:22,D,15046,.00,++,
120,Monday Aug 22,boxscore,CIN,@,PHI,L,1,4,,48-72,4,21.5,Syndergaard,Cessa,Bellatti,2:40,N,19166,.00,-,
121,Tuesday Aug 23,boxscore,CIN,@,PHI,L-wo,6,7,,48-73,4,22.0,Hand,Díaz,,3:12,N,20220,.00,--,
122,Wednesday Aug 24,boxscore,CIN,@,PHI,L,5,7,,48-74,4,22.0,Sánchez,Zeuch,Robertson,3:16,N,24400,.00,---,
123,Thursday Aug 25,boxscore,CIN,@,PHI,L,0,4,,48-75,4,23.0,Nola,Dunn,,2:36,N,21123,.00,----,
124,Friday Aug 26,boxscore,CIN,@,WSN,W,7,3,,49-75,4,22.0,Minor,Cavalli,,3:07,N,31256,.00,+,
125,Saturday Aug 27,boxscore,CIN,@,WSN,W,6,2,,50-75,4,22.0,Gibaut,Espino,Díaz,3:05,N,30325,.00,++,
126,Sunday Aug 28,boxscore,CIN,@,WSN,L,2,3,,50-76,4,23.0,Corbin,Lodolo,Finnegan,2:21,D,31411,.00,-,
127,Monday Aug 29,boxscore,CIN,,STL,L,4,13,,50-77,4,24.0,Stratton,Anderson,,3:01,N,11051,.00,--,
128,Tuesday Aug 30,boxscore,CIN,,STL,W,5,1,,51-77,4,23.0,Law,Hudson,,2:33,N,13271,.00,+,
129,Wednesday Aug 31,boxscore,CIN,,STL,L,3,5,13,51-78,4,24.0,Pallante,Anderson,,4:48,N,13613,.00,-,
130,Friday Sep 2,boxscore,CIN,,COL,W-wo,3,2,,52-78,4,24.0,Díaz,Colomé,,2:58,N,16763,.00,+,
131,Sunday Sep 4 (1),boxscore,CIN,,COL,L,4,8,,52-79,4,25.0,Márquez,Kuhnel,,2:58,D,,.00,-,
132,Sunday Sep 4 (2),boxscore,CIN,,COL,W,10,0,,53-79,4,25.0,Law,Ureña,,2:49,D,23060,.00,+,
133,Tuesday Sep 6,boxscore,CIN,@,CHC,L,3,9,,53-80,4,25.5,Wesneski,Gibaut,,3:08,N,27600,.00,-,
134,Wednesday Sep 7,boxscore,CIN,@,CHC,W,7,1,,54-80,4,25.5,Minor,Assad,,2:54,N,27945,.00,+,
135,Thursday Sep 8,boxscore,CIN,@,CHC,W,4,3,,55-80,4,24.5,Díaz,Leiter,Gibaut,3:14,D,23910,.00,++,
136,Friday Sep 9,boxscore,CIN,@,MIL,W,8,2,,56-80,4,23.5,Lodolo,Alexander,,2:42,N,33660,.00,+++,
137,Saturday Sep 10,boxscore,CIN,@,MIL,L,1,5,,56-81,4,24.5,Houser,Anderson,,2:34,N,34615,.00,-,
138,Sunday Sep 11,boxscore,CIN,@,MIL,L,6,7,,56-82,4,25.5,Woodruff,Dunn,Williams,3:05,D,42482,.00,--,
