Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
138,Wednesday Sep 7,boxscore,SDP,,ARI,W,6,3,,76-62,2,19.0,Darvish,Henry,Hader,3:03,N,36948,.67,++,
139,Friday Sep 9,boxscore,SDP,,LAD,W-wo,5,4,10,77-62,2,18.0,Morejón,Hembree,,3:47,N,43286,.62,+++,
140,Saturday Sep 10,boxscore,SDP,,LAD,L,4,8,,77-63,2,19.0,Urías,Snell,,3:07,N,43639,.45,-,
141,Sunday Sep 11,boxscore,SDP,,LAD,L,2,11,,77-64,2,20.0,Heaney,Musgrove,,3:01,D,41652,.64,--,
142,Tuesday Sep 13,boxscore,SDP,@,SEA,W,2,0,,78-64,2,20.5,Darvish,Gilbert,Hader,3:04,N,34740,.87,+,
143,Wednesday Sep 14,boxscore,SDP,@,SEA,L,1,6,,78-65,2,20.5,Castillo,Clevinger,,2:53,D,24238,.84,-,
144,Thursday Sep 15,boxscore,SDP,@,ARI,L,0,4,,78-66,2,21.0,Jameson,Manaea,,2:38,N,17121,.90,--,
145,Friday Sep 16,boxscore,SDP,@,ARI,W,12,3,,79-66,2,21.0,Snell,Bumgarner,,2:58,N,19945,.94,+,
146,Saturday Sep 17,boxscore,SDP,@,ARI,W,2,0,,80-66,2,21.0,Musgrove,Gallen,Hader,2:51,N,29796,.98,++,
147,Sunday Sep 18,boxscore,SDP,@,ARI,W,6,1,,81-66,2,21.0,Darvish,Nelson,,3:03,D,20480,.94,+++,
148,Tuesday Sep 20,boxscore,SDP,,STL,W,5,0,,82-66,2,21.0,Clevinger,Wainwright,,2:56,N,39538,.50,++++,
149,Wednesday Sep 21,boxscore,SDP,,STL,W,1,0,,83-66,2,20.0,Snell,Mikolas,Hader,2:55,N,38643,.26,+++++,
150,Thursday Sep 22,boxscore,SDP,,STL,L,4,5,,83-67,2,21.0,Flaherty,Martinez,Gallegos,3:03,D,33389,.26,-,
151,Friday Sep 23,boxscore,SDP,@,COL,L-wo,3,4,10,83-68,2,21.0,Bard,Morejón,,3:23,N,48321,.47,--,
152,Saturday Sep 24,boxscore,SDP,@,COL,W,9,3,,84-68,2,21.0,Darvish,Kuhl,,3:14,N,45983,.79,+,
153,Sunday Sep 25,boxscore,SDP,@,COL,W,13,6,,85-68,2,21.0,Suarez,Freeland,,3:43,D,40503,.75,++,
154,Tuesday Sep 27,boxscore,SDP,,LAD,W-wo,4,3,10,86-68,2,20.0,Johnson,Kimbrel,,4:09,N,32127,.34,+++,
155,Wednesday Sep 28,boxscore,SDP,,LAD,L,0,1,10,86-69,2,21.0,Vesia,Wilson,Kahnle,3:44,N,32523,.12,-,
156,Thursday Sep 29,boxscore,SDP,,LAD,L,2,5,,86-70,2,22.0,Heaney,Johnson,Price,3:17,N,35636,.19,--,
157,Friday Sep 30,boxscore,SDP,,CHW,L,1,3,,86-71,2,23.0,Martin,Darvish,Hendriks,3:23,N,37490,.17,---,
158,Saturday Oct 1,boxscore,SDP,,CHW,W,5,2,,87-71,2,23.0,Clevinger,Cease,Hader,3:07,N,38114,.47,+,
159,Sunday Oct 2,boxscore,SDP,,CHW,L,1,2,,87-72,2,23.0,Lynn,Snell,Hendriks,3:06,D,41407,.11,-,
160,Monday Oct 3,boxscore,SDP,,SFG,W,7,4,,88-72,2,22.0,Morejón,Miller,Hader,3:12,N,31687,-.02,+,
161,Tuesday Oct 4,boxscore,SDP,,SFG,W,6,2,,89-72,2,21.0,Manaea,Cobb,,2:44,N,32884,.08,++,
162,Wednesday Oct 5,boxscore,SDP,,SFG,L,1,8,,89-73,2,22.0,Marte,Stammen,,3:07,D,32064,.02,-,
