away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Nick Pivetta,N,,Bottom,Guaranteed Rate Field,2022-05-25T00:10:00Z,111,2022-05-24,4,9,Final,Boston Red Sox,Dylan Cease,Nick Pivetta,2022-05-24 - Boston Red Sox (16) @ Chicago White Sox (3) (Final),R,16,Chicago White Sox,661488,Boston Red Sox,3,1,,145,Chicago White Sox,BOS leads 1-0,Dylan Cease,[]
,Rich Hill,N,,Top,Guaranteed Rate Field,2022-05-26T00:10:00Z,111,2022-05-25,4,9,Final,Boston Red Sox,Lucas Giolito,Lucas Giolito,2022-05-25 - Boston Red Sox (1) @ Chicago White Sox (3) (Final),R,1,Chicago White Sox,661487,Chicago White Sox,3,1,Liam Hendriks,145,Boston Red Sox,Series tied 1-1,Rich Hill,[]
,Michael Wacha,N,,Bottom,Guaranteed Rate Field,2022-05-27T00:10:00Z,111,2022-05-26,4,9,Final,Boston Red Sox,Dallas Keuchel,John Schreiber,2022-05-26 - Boston Red Sox (16) @ Chicago White Sox (7) (Final),R,16,Chicago White Sox,661486,Boston Red Sox,7,1,,145,Chicago White Sox,BOS wins 2-1,Dallas Keuchel,[]
,Keegan Thompson,N,,Bottom,Guaranteed Rate Field,2022-05-28T23:15:00Z,112,2022-05-28,4,9,Final,Chicago Cubs,Johnny Cueto,Keegan Thompson,2022-05-28 - Chicago Cubs (5) @ Chicago White Sox (1) (Final),R,5,Chicago White Sox,661518,Chicago Cubs,1,1,,145,Chicago White Sox,CHC leads 1-0,Johnny Cueto,['FOX']
,Marcus Stroman,N,,Bottom,Guaranteed Rate Field,2022-05-29T18:10:00Z,112,2022-05-29,4,12,Final,Chicago Cubs,Dylan Cease,Matt Foster,2022-05-29 - Chicago Cubs (4) @ Chicago White Sox (5) (Final),R,4,Chicago White Sox,661461,Chicago White Sox,5,1,,145,Chicago Cubs,Series tied 1-1,Robert Gsellman,[]
,Lucas Giolito,N,,Top,Rogers Centre,2022-05-31T23:07:00Z,145,2022-05-31,14,9,Final,Chicago White Sox,Kevin Gausman,Kevin Gausman,2022-05-31 - Chicago White Sox (5) @ Toronto Blue Jays (6) (Final),R,5,Toronto Blue Jays,661797,Toronto Blue Jays,6,1,Jordan Romano,141,Chicago White Sox,TOR leads 1-0,Lucas Giolito,[]
,Michael Kopech,N,,Top,Rogers Centre,2022-06-01T23:07:00Z,145,2022-06-01,14,9,Final,Chicago White Sox,Hyun Jin Ryu,Ross Stripling,2022-06-01 - Chicago White Sox (3) @ Toronto Blue Jays (7) (Final),R,3,Toronto Blue Jays,661764,Toronto Blue Jays,7,1,,141,Chicago White Sox,TOR wins 2-0,Michael Kopech,[]
,Johnny Cueto,N,,Top,Rogers Centre,2022-06-02T19:07:00Z,145,2022-06-02,14,9,Final,Chicago White Sox,Alek Manoah,Alek Manoah,2022-06-02 - Chicago White Sox (3) @ Toronto Blue Jays (8) (Final),R,3,Toronto Blue Jays,661762,Toronto Blue Jays,8,1,,141,Chicago White Sox,TOR wins 3-0,Johnny Cueto,[]
,Davis Martin,N,,Top,Tropicana Field,2022-06-03T23:10:00Z,145,2022-06-03,12,9,Final,Chicago White Sox,Shane McClanahan,Shane McClanahan,2022-06-03 - Chicago White Sox (3) @ Tampa Bay Rays (6) (Final),R,3,Tampa Bay Rays,661897,Tampa Bay Rays,6,1,Colin Poche,139,Chicago White Sox,TB leads 1-0,Davis Martin,[]
,Dylan Cease,N,,Bottom,Tropicana Field,2022-06-04T20:10:00Z,145,2022-06-04,12,9,Final,Chicago White Sox,Drew Rasmussen,Kyle Crick,2022-06-04 - Chicago White Sox (3) @ Tampa Bay Rays (2) (Final),R,3,Tampa Bay Rays,661896,Chicago White Sox,2,1,Liam Hendriks,139,Tampa Bay Rays,Series tied 1-1,Jalen Beeks,[]
